MMSI,DFSI,record_count,max_gap_hours,impossible_jump_km,draft_change_count,going_dark_events,draft_change_events,teleportation_events
236111603,0.000000,161,0.000,0.000,0,0,0,0
266388000,0.000000,30,0.000,0.000,0,0,0,0
219013226,0.000000,45,0.000,0.000,0,0,0,0
218008130,0.000000,18,0.000,0.000,0,0,0,0
219941000,0.000000,65,0.000,0.000,0,0,0,0
219029880,0.000000,199,0.000,0.000,0,0,0,0
219000618,0.000000,41,0.000,0.000,0,0,0,0
219024177,0.000000,243,0.000,0.000,0,0,0,0
319301000,0.000000,69,0.000,0.000,0,0,0,0
255805842,0.000000,31,0.000,0.000,0,0,0,0
219167000,0.000000,93,0.000,0.000,0,0,0,0
219000872,0.000000,77,0.000,0.000,0,0,0,0
219005867,0.000000,70,0.000,0.000,0,0,0,0
261021120,0.000000,8,0.000,0.000,0,0,0,0
219014012,0.000000,46,0.000,0.000,0,0,0,0
219203000,0.000000,72,0.000,0.000,0,0,0,0
245634000,0.000000,20,0.000,0.000,0,0,0,0
212577000,0.000000,12,0.000,0.000,0,0,0,0
219005454,0.000000,62,0.000,0.000,0,0,0,0
538011530,0.000000,145,0.000,0.000,0,0,0,0
265042000,0.000000,333,0.000,0.000,0,0,0,0
219000752,0.000000,30,0.000,0.000,0,0,0,0
265733640,0.000000,309,0.000,0.000,0,0,0,0
219029751,0.000000,46,0.000,0.000,0,0,0,0
211216490,0.000000,73,0.000,0.000,0,0,0,0
245924000,0.000000,193,0.000,0.000,0,0,0,0
220182000,0.000000,57,0.000,0.000,0,0,0,0
219012302,0.000000,83,0.000,0.000,0,0,0,0
219035058,0.000000,4,0.000,0.000,0,0,0,0
219001682,0.000000,97,0.000,0.000,0,0,0,0
211410690,0.000000,72,0.000,0.000,0,0,0,0
265504660,0.000000,86,0.000,0.000,0,0,0,0
218836000,0.000000,120,0.000,0.000,0,0,0,0
265412000,0.000000,135,0.000,0.000,0,0,0,0
219011321,0.000000,30,0.000,0.000,0,0,0,0
244730000,0.000000,110,0.000,0.000,0,0,0,0
258030900,0.000000,106,0.000,0.000,0,0,0,0
247229700,0.000000,371,0.000,0.000,0,0,0,0
219011325,0.000000,66,0.000,0.000,0,0,0,0
667001256,0.000000,118,0.000,0.000,0,0,0,0
219005059,0.000000,88,0.000,0.000,0,0,0,0
265608060,0.000000,67,0.000,0.000,0,0,0,0
245897000,0.000000,33,0.000,0.000,0,0,0,0
266147000,0.000000,57,0.000,0.000,0,0,0,0
244874000,0.000000,36,0.000,0.000,0,0,0,0
230179120,0.000000,54,0.000,0.000,0,0,0,0
219035097,0.000000,219,0.000,0.000,0,0,0,0
257058070,0.000000,112,0.000,0.000,0,0,0,0
265732730,0.000000,13,0.000,0.000,0,0,0,0
265708000,0.000000,32,0.000,0.000,0,0,0,0
261044060,0.000000,5,0.000,0.000,0,0,0,0
918000127,0.000000,73,0.000,0.000,0,0,0,0
257759000,0.000000,252,0.000,0.000,0,0,0,0
249351000,0.000000,211,0.000,0.000,0,0,0,0
219777000,0.000000,31,0.000,0.000,0,0,0,0
219026999,0.000000,4,0.000,0.000,0,0,0,0
219299000,0.000000,156,0.000,0.000,0,0,0,0
219001259,0.000000,44,0.000,0.000,0,0,0,0
355124000,0.000000,85,0.000,0.000,0,0,0,0
219244000,0.000000,87,0.000,0.000,0,0,0,0
257650500,0.000000,70,0.000,0.000,0,0,0,0
219027026,0.000000,60,0.000,0.000,0,0,0,0
211363300,0.000000,25,0.000,0.000,0,0,0,0
538008844,0.000000,98,0.000,0.000,0,0,0,0
205499000,0.000000,3,0.000,0.000,0,0,0,0
219034365,0.000000,180,0.000,0.000,0,0,0,0
246347000,0.000000,62,0.000,0.000,0,0,0,0
231163000,0.000000,68,0.000,0.000,0,0,0,0
205127000,0.000000,33,0.000,0.000,0,0,0,0
220283000,0.000000,34,0.000,0.000,0,0,0,0
265463000,0.000000,191,0.000,0.000,0,0,0,0
219000603,0.000000,54,0.000,0.000,0,0,0,0
354345000,0.000000,90,0.000,0.000,0,0,0,0
219031658,0.000000,3,0.000,0.000,0,0,0,0
211147180,0.000000,23,0.000,0.000,0,0,0,0
311000330,0.000000,150,0.000,0.000,0,0,0,0
219002661,0.000000,112,0.000,0.000,0,0,0,0
219024923,0.000000,71,0.000,0.000,0,0,0,0
636018799,0.000000,62,0.000,0.000,0,0,0,0
255806189,0.000000,73,0.000,0.000,0,0,0,0
211595270,0.000000,3,0.000,0.000,0,0,0,0
219007898,0.000000,43,0.000,0.000,0,0,0,0
246925000,0.000000,147,0.000,0.000,0,0,0,0
220544000,0.000000,31,0.000,0.000,0,0,0,0
265550210,0.000000,43,0.000,0.000,0,0,0,0
219030533,0.000000,137,0.000,0.000,0,0,0,0
219001061,0.000000,63,0.000,0.000,0,0,0,0
255806436,0.000000,236,0.000,0.000,0,0,0,0
219006113,0.000000,33,0.000,0.000,0,0,0,0
219020688,0.000000,18,0.000,0.000,0,0,0,0
244475000,0.000000,158,0.000,0.000,0,0,0,0
220072000,0.000000,32,0.000,0.000,0,0,0,0
255805880,0.000000,22,0.000,0.000,0,0,0,0
266006000,0.000000,1105,0.000,0.000,0,0,0,0
265063530,0.000000,20,0.000,0.000,0,0,0,0
219013514,0.000000,189,0.000,0.000,0,0,0,0
244830818,0.000000,111,0.000,0.000,0,0,0,0
219001695,0.000000,45,0.000,0.000,0,0,0,0
246812000,0.000000,15,0.000,0.000,0,0,0,0
219026360,0.000000,6,0.000,0.000,0,0,0,0
219019316,0.000000,30,0.000,0.000,0,0,0,0
265032410,0.000000,21,0.000,0.000,0,0,0,0
538009882,0.000000,39,0.000,0.000,0,0,0,0
261185762,0.000000,16,0.000,0.000,0,0,0,0
256339000,0.000000,219,0.000,0.000,0,0,0,0
219010252,0.000000,35,0.000,0.000,0,0,0,0
219164000,0.000000,95,0.000,0.000,0,0,0,0
219017815,0.000000,73,0.000,0.000,0,0,0,0
257186000,0.000000,203,0.000,0.000,0,0,0,0
211765110,0.000000,5,0.000,0.000,0,0,0,0
265828500,0.000000,43,0.000,0.000,0,0,0,0
219018172,0.000000,66,0.000,0.000,0,0,0,0
219904000,0.000000,160,0.000,0.000,0,0,0,0
257182000,0.000000,132,0.000,0.000,0,0,0,0
219018865,0.000000,122,0.000,0.000,0,0,0,0
211683850,0.000000,4,0.000,0.000,0,0,0,0
219113000,0.000000,38,0.000,0.000,0,0,0,0
211809000,0.000000,65,0.000,0.000,0,0,0,0
219002586,0.000000,30,0.000,0.000,0,0,0,0
219001604,0.000000,36,0.000,0.000,0,0,0,0
